dataset,generating_model,attribution_method,judging_model,fill_strategy,auc,drop_at_75
imagenet,vgg16,integrated_gradients,mobilenet_v2,mean,0.43005000000000004,0.5680000000000001
imagenet,vgg16,integrated_gradients,mobilenet_v2,random_noise,0.3926,0.629
imagenet,vgg16,integrated_gradients,mobilenet_v2,white,0.27355,0.7110000000000001
imagenet,vgg16,integrated_gradients,resnet50,black,0.381075,0.788
imagenet,vgg16,integrated_gradients,resnet50,blur,0.6252749999999999,0.48100000000000004
imagenet,vgg16,integrated_gradients,resnet50,gray,0.548275,0.577
imagenet,vgg16,integrated_gradients,resnet50,mean,0.57195,0.528
imagenet,vgg16,integrated_gradients,resnet50,random_noise,0.528925,0.633
imagenet,vgg16,integrated_gradients,resnet50,white,0.361475,0.779
imagenet,vgg16,saliency,mobilenet_v2,black,0.27259999999999995,0.743
imagenet,vgg16,saliency,mobilenet_v2,blur,0.414675,0.6240000000000001
imagenet,vgg16,saliency,mobilenet_v2,gray,0.33265000000000006,0.6980000000000001
imagenet,vgg16,saliency,mobilenet_v2,mean,0.35705,0.679
imagenet,vgg16,saliency,mobilenet_v2,random_noise,0.3291000000000001,0.7160000000000001
imagenet,vgg16,saliency,mobilenet_v2,white,0.23525,0.757
imagenet,vgg16,saliency,resnet50,black,0.3233749999999999,0.853
imagenet,vgg16,saliency,resnet50,blur,0.565375,0.589
imagenet,vgg16,saliency,resnet50,gray,0.4370750000000001,0.732
imagenet,vgg16,saliency,resnet50,mean,0.4664999999999999,0.6920000000000001
imagenet,vgg16,saliency,resnet50,random_noise,0.4287749999999999,0.756
imagenet,vgg16,saliency,resnet50,white,0.303625,0.8490000000000001
imagenet,vgg16,smoothgrad,mobilenet_v2,black,0.4533,0.5650000000000001
imagenet,vgg16,smoothgrad,mobilenet_v2,blur,0.529325,0.43700000000000006
imagenet,vgg16,smoothgrad,mobilenet_v2,gray,0.49024999999999996,0.48700000000000004
imagenet,vgg16,smoothgrad,mobilenet_v2,mean,0.50215,0.48300000000000004
imagenet,vgg16,smoothgrad,mobilenet_v2,random_noise,0.47595000000000004,0.526
imagenet,vgg16,smoothgrad,mobilenet_v2,white,0.43845,0.561
imagenet,vgg16,smoothgrad,resnet50,black,0.5283250000000002,0.643
