dataset,generating_model,attribution_method,judging_model,fill_strategy,occlusion_level,mean_accuracy
imagenet,independent,dino+u2net_sum,resnet50,random_noise,10.0,0.907
imagenet,independent,dino+u2net_sum,resnet50,random_noise,15.0,0.908
imagenet,independent,dino+u2net_sum,resnet50,random_noise,20.0,0.896
imagenet,independent,dino+u2net_sum,resnet50,random_noise,25.0,0.88
imagenet,independent,dino+u2net_sum,resnet50,random_noise,30.0,0.875
imagenet,independent,dino+u2net_sum,resnet50,random_noise,35.0,0.859
imagenet,independent,dino+u2net_sum,resnet50,random_noise,40.0,0.851
imagenet,independent,dino+u2net_sum,resnet50,random_noise,45.0,0.845
imagenet,independent,dino+u2net_sum,resnet50,random_noise,50.0,0.824
imagenet,independent,dino+u2net_sum,resnet50,random_noise,55.0,0.796
imagenet,independent,dino+u2net_sum,resnet50,random_noise,60.0,0.772
imagenet,independent,dino+u2net_sum,resnet50,random_noise,65.0,0.749
imagenet,independent,dino+u2net_sum,resnet50,random_noise,70.0,0.717
imagenet,independent,dino+u2net_sum,resnet50,random_noise,75.0,0.668
imagenet,independent,dino+u2net_sum,resnet50,random_noise,80.0,0.59
imagenet,independent,dino+u2net_sum,resnet50,random_noise,85.0,0.445
imagenet,independent,dino+u2net_sum,resnet50,random_noise,90.0,0.256
imagenet,independent,dino+u2net_sum,resnet50,random_noise,95.0,0.084
imagenet,independent,dino+u2net_sum,resnet50,random_noise,100.0,0.001
imagenet,independent,dino+u2net_sum,resnet50,white,0.0,0.92
imagenet,independent,dino+u2net_sum,resnet50,white,5.0,0.915
imagenet,independent,dino+u2net_sum,resnet50,white,10.0,0.907
imagenet,independent,dino+u2net_sum,resnet50,white,15.0,0.893
imagenet,independent,dino+u2net_sum,resnet50,white,20.0,0.893
imagenet,independent,dino+u2net_sum,resnet50,white,25.0,0.882
imagenet,independent,dino+u2net_sum,resnet50,white,30.0,0.883
imagenet,independent,dino+u2net_sum,resnet50,white,35.0,0.866
imagenet,independent,dino+u2net_sum,resnet50,white,40.0,0.86
imagenet,independent,dino+u2net_sum,resnet50,white,45.0,0.846
imagenet,independent,dino+u2net_sum,resnet50,white,50.0,0.827
imagenet,independent,dino+u2net_sum,resnet50,white,55.0,0.811
imagenet,independent,dino+u2net_sum,resnet50,white,60.0,0.788
imagenet,independent,dino+u2net_sum,resnet50,white,65.0,0.767
imagenet,independent,dino+u2net_sum,resnet50,white,70.0,0.721
imagenet,independent,dino+u2net_sum,resnet50,white,75.0,0.682
imagenet,independent,dino+u2net_sum,resnet50,white,80.0,0.587
imagenet,independent,dino+u2net_sum,resnet50,white,85.0,0.467
imagenet,independent,dino+u2net_sum,resnet50,white,90.0,0.301
imagenet,independent,dino+u2net_sum,resnet50,white,95.0,0.102
imagenet,independent,dino+u2net_sum,resnet50,white,100.0,0.001
imagenet,independent,dino+u2net_sum,vgg16,black,0.0,0.818
imagenet,independent,dino+u2net_sum,vgg16,black,5.0,0.712
imagenet,independent,dino+u2net_sum,vgg16,black,10.0,0.683
imagenet,independent,dino+u2net_sum,vgg16,black,15.0,0.647
imagenet,independent,dino+u2net_sum,vgg16,black,20.0,0.62
imagenet,independent,dino+u2net_sum,vgg16,black,25.0,0.599
imagenet,independent,dino+u2net_sum,vgg16,black,30.0,0.557
imagenet,independent,dino+u2net_sum,vgg16,black,35.0,0.548
imagenet,independent,dino+u2net_sum,vgg16,black,40.0,0.519
imagenet,independent,dino+u2net_sum,vgg16,black,45.0,0.498
imagenet,independent,dino+u2net_sum,vgg16,black,50.0,0.483
imagenet,independent,dino+u2net_sum,vgg16,black,55.0,0.44
imagenet,independent,dino+u2net_sum,vgg16,black,60.0,0.413
imagenet,independent,dino+u2net_sum,vgg16,black,65.0,0.378
imagenet,independent,dino+u2net_sum,vgg16,black,70.0,0.325
imagenet,independent,dino+u2net_sum,vgg16,black,75.0,0.243
imagenet,independent,dino+u2net_sum,vgg16,black,80.0,0.184
imagenet,independent,dino+u2net_sum,vgg16,black,85.0,0.121
imagenet,independent,dino+u2net_sum,vgg16,black,90.0,0.059
imagenet,independent,dino+u2net_sum,vgg16,black,95.0,0.02
imagenet,independent,dino+u2net_sum,vgg16,black,100.0,0.001
imagenet,independent,dino+u2net_sum,vgg16,blur,0.0,0.818
imagenet,independent,dino+u2net_sum,vgg16,blur,5.0,0.815
imagenet,independent,dino+u2net_sum,vgg16,blur,10.0,0.811
imagenet,independent,dino+u2net_sum,vgg16,blur,15.0,0.812
imagenet,independent,dino+u2net_sum,vgg16,blur,20.0,0.797
imagenet,independent,dino+u2net_sum,vgg16,blur,25.0,0.792
imagenet,independent,dino+u2net_sum,vgg16,blur,30.0,0.771
imagenet,independent,dino+u2net_sum,vgg16,blur,35.0,0.762
imagenet,independent,dino+u2net_sum,vgg16,blur,40.0,0.738
imagenet,independent,dino+u2net_sum,vgg16,blur,45.0,0.733
imagenet,independent,dino+u2net_sum,vgg16,blur,50.0,0.712
imagenet,independent,dino+u2net_sum,vgg16,blur,55.0,0.696
imagenet,independent,dino+u2net_sum,vgg16,blur,60.0,0.655
imagenet,independent,dino+u2net_sum,vgg16,blur,65.0,0.613
imagenet,independent,dino+u2net_sum,vgg16,blur,70.0,0.585
imagenet,independent,dino+u2net_sum,vgg16,blur,75.0,0.529
imagenet,independent,dino+u2net_sum,vgg16,blur,80.0,0.43
imagenet,independent,dino+u2net_sum,vgg16,blur,85.0,0.317
imagenet,independent,dino+u2net_sum,vgg16,blur,90.0,0.19
imagenet,independent,dino+u2net_sum,vgg16,blur,95.0,0.09
imagenet,independent,dino+u2net_sum,vgg16,blur,100.0,0.034
imagenet,independent,dino+u2net_sum,vgg16,gray,0.0,0.818
imagenet,independent,dino+u2net_sum,vgg16,gray,5.0,0.791
imagenet,independent,dino+u2net_sum,vgg16,gray,10.0,0.75
imagenet,independent,dino+u2net_sum,vgg16,gray,15.0,0.735
imagenet,independent,dino+u2net_sum,vgg16,gray,20.0,0.716
imagenet,independent,dino+u2net_sum,vgg16,gray,25.0,0.669
imagenet,independent,dino+u2net_sum,vgg16,gray,30.0,0.659
imagenet,independent,dino+u2net_sum,vgg16,gray,35.0,0.641
imagenet,independent,dino+u2net_sum,vgg16,gray,40.0,0.633
imagenet,independent,dino+u2net_sum,vgg16,gray,45.0,0.603
imagenet,independent,dino+u2net_sum,vgg16,gray,50.0,0.581
imagenet,independent,dino+u2net_sum,vgg16,gray,55.0,0.557
imagenet,independent,dino+u2net_sum,vgg16,gray,60.0,0.519
imagenet,independent,dino+u2net_sum,vgg16,gray,65.0,0.491
imagenet,independent,dino+u2net_sum,vgg16,gray,70.0,0.451
imagenet,independent,dino+u2net_sum,vgg16,gray,75.0,0.382
imagenet,independent,dino+u2net_sum,vgg16,gray,80.0,0.293
imagenet,independent,dino+u2net_sum,vgg16,gray,85.0,0.192
imagenet,independent,dino+u2net_sum,vgg16,gray,90.0,0.093
imagenet,independent,dino+u2net_sum,vgg16,gray,95.0,0.033
imagenet,independent,dino+u2net_sum,vgg16,gray,100.0,0.001
imagenet,independent,dino+u2net_sum,vgg16,mean,0.0,0.818
imagenet,independent,dino+u2net_sum,vgg16,mean,5.0,0.794
imagenet,independent,dino+u2net_sum,vgg16,mean,10.0,0.779
imagenet,independent,dino+u2net_sum,vgg16,mean,15.0,0.767
imagenet,independent,dino+u2net_sum,vgg16,mean,20.0,0.742
imagenet,independent,dino+u2net_sum,vgg16,mean,25.0,0.72
imagenet,independent,dino+u2net_sum,vgg16,mean,30.0,0.7
imagenet,independent,dino+u2net_sum,vgg16,mean,35.0,0.682
imagenet,independent,dino+u2net_sum,vgg16,mean,40.0,0.673
imagenet,independent,dino+u2net_sum,vgg16,mean,45.0,0.654
imagenet,independent,dino+u2net_sum,vgg16,mean,50.0,0.637
imagenet,independent,dino+u2net_sum,vgg16,mean,55.0,0.608
imagenet,independent,dino+u2net_sum,vgg16,mean,60.0,0.567
imagenet,independent,dino+u2net_sum,vgg16,mean,65.0,0.527
imagenet,independent,dino+u2net_sum,vgg16,mean,70.0,0.48
