image_id,explainer,judge_model,AUC,DROP,InflectionPoint_max_slope,InflectionPoint_threshold
image_00136,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00136,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00137,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00137,grad_cam,mobilenet_v2,0.375,1.0,25.0,50.0
image_00138,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00138,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00139,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00139,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00140,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00140,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00141,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00141,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00142,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00142,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00143,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00143,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00144,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00144,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00145,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00145,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00146,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00146,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00147,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00147,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00148,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00148,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00149,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00149,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00150,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00150,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00151,grad_cam,resnet50,0.75,0.0,0.0,75.0
