image_id,explainer,judge_model,SSMS_score,S,alpha,entropy,sparsity
image_00271,grad_cam,resnet50,1.0,26304.88671875,0.9074782729148865,10.636374473571777,0.11664939413265306
image_00271,grad_cam,mobilenet_v2,1.0,26304.88671875,0.9074782729148865,10.636374473571777,0.11664939413265306
image_00272,grad_cam,resnet50,0.0,22454.84375,1.2345290184020996,10.601936340332031,0.12442203443877552
image_00272,grad_cam,mobilenet_v2,0.0,22454.84375,1.2345290184020996,10.601936340332031,0.12442203443877552
image_00273,grad_cam,resnet50,1.0,13134.658203125,2.820122480392456,10.343160629272461,0.42661830357142855
image_00273,grad_cam,mobilenet_v2,1.0,13134.658203125,2.820122480392456,10.343160629272461,0.42661830357142855
image_00274,grad_cam,resnet50,1.0,17117.875,1.931204915046692,10.572019577026367,0.18341438137755103
image_00274,grad_cam,mobilenet_v2,1.0,17117.875,1.931204915046692,10.572019577026367,0.18341438137755103
image_00275,grad_cam,resnet50,1.0,15027.7724609375,2.3388845920562744,10.388556480407715,0.3497289540816326
image_00275,grad_cam,mobilenet_v2,1.0,15027.7724609375,2.3388845920562744,10.388556480407715,0.3497289540816326
image_00276,grad_cam,resnet50,1.0,21180.580078125,1.3689625263214111,10.65463638305664,0.07210618622448979
image_00276,grad_cam,mobilenet_v2,1.0,21180.580078125,1.3689625263214111,10.65463638305664,0.07210618622448979
image_00277,grad_cam,resnet50,1.0,12642.279296875,2.968904495239258,10.263360023498535,0.4567721619897959
image_00277,grad_cam,mobilenet_v2,1.0,12642.279296875,2.968904495239258,10.263360023498535,0.4567721619897959
image_00278,grad_cam,resnet50,0.0,14316.6845703125,2.5047221183776855,10.471713066101074,0.2235730229591837
image_00278,grad_cam,mobilenet_v2,0.0,14316.6845703125,2.5047221183776855,10.471713066101074,0.2235730229591837
image_00279,grad_cam,resnet50,1.0,14634.3662109375,2.4286417961120605,10.437271118164062,0.23596938775510204
image_00279,grad_cam,mobilenet_v2,1.0,14634.3662109375,2.4286417961120605,10.437271118164062,0.23596938775510204
image_00280,grad_cam,resnet50,1.0,14674.1279296875,2.41935133934021,10.310454368591309,0.40383848852040816
image_00280,grad_cam,mobilenet_v2,1.0,14674.1279296875,2.41935133934021,10.310454368591309,0.40383848852040816
image_00281,grad_cam,resnet50,0.0,19997.48828125,1.5091150999069214,10.512201309204102,0.23748405612244897
image_00281,grad_cam,mobilenet_v2,0.0,19997.48828125,1.5091150999069214,10.512201309204102,0.23748405612244897
image_00282,grad_cam,resnet50,0.0,23890.0703125,1.100286841392517,10.70311164855957,0.04452327806122449
image_00282,grad_cam,mobilenet_v2,0.0,23890.0703125,1.100286841392517,10.70311164855957,0.04452327806122449
image_00283,grad_cam,resnet50,1.0,23663.435546875,1.120402216911316,10.670164108276367,0.0641342474489796
image_00283,grad_cam,mobilenet_v2,1.0,23663.435546875,1.120402216911316,10.670164108276367,0.0641342474489796
image_00284,grad_cam,resnet50,1.0,16797.58984375,1.9870952367782593,10.417925834655762,0.23652742346938777
image_00284,grad_cam,mobilenet_v2,1.0,16797.58984375,1.9870952367782593,10.417925834655762,0.23652742346938777
image_00285,grad_cam,resnet50,1.0,23787.03515625,1.1093844175338745,10.729750633239746,0.039720184948979595
image_00285,grad_cam,mobilenet_v2,1.0,23787.03515625,1.1093844175338745,10.729750633239746,0.039720184948979595
image_00286,grad_cam,resnet50,1.0,16793.3359375,1.987851858139038,10.598042488098145,0.10658482142857142
image_00286,grad_cam,mobilenet_v2,0.0,16793.3359375,1.987851858139038,10.598042488098145,0.10658482142857142
image_00287,grad_cam,resnet50,1.0,18546.392578125,1.7054318189620972,10.524656295776367,0.2248485331632653
image_00287,grad_cam,mobilenet_v2,1.0,18546.392578125,1.7054318189620972,10.524656295776367,0.2248485331632653
image_00288,grad_cam,resnet50,1.0,30815.361328125,0.6282787919044495,10.767827033996582,0.014190051020408163
image_00288,grad_cam,mobilenet_v2,1.0,30815.361328125,0.6282787919044495,10.767827033996582,0.014190051020408163
image_00289,grad_cam,resnet50,1.0,30365.9296875,0.6523782014846802,10.756414413452148,0.01775749362244898
image_00289,grad_cam,mobilenet_v2,1.0,30365.9296875,0.6523782014846802,10.756414413452148,0.01775749362244898
image_00290,grad_cam,resnet50,0.0,20394.451171875,1.4602770805358887,10.665521621704102,0.055963010204081634
image_00290,grad_cam,mobilenet_v2,0.0,20394.451171875,1.4602770805358887,10.665521621704102,0.055963010204081634
image_00291,grad_cam,resnet50,1.0,15152.5966796875,2.3113796710968018,10.435020446777344,0.3054049744897959
image_00291,grad_cam,mobilenet_v2,0.0,15152.5966796875,2.3113796710968018,10.435020446777344,0.3054049744897959
image_00292,grad_cam,resnet50,1.0,16197.8330078125,2.097698450088501,10.444192886352539,0.30765704719387754
image_00292,grad_cam,mobilenet_v2,1.0,16197.8330078125,2.097698450088501,10.444192886352539,0.30765704719387754
image_00293,grad_cam,resnet50,1.0,25642.955078125,0.956716775894165,10.637252807617188,0.12611607142857142
image_00293,grad_cam,mobilenet_v2,0.0,25642.955078125,0.956716775894165,10.637252807617188,0.12611607142857142
image_00294,grad_cam,resnet50,1.0,19972.833984375,1.5122123956680298,10.548645973205566,0.18080357142857142
image_00294,grad_cam,mobilenet_v2,1.0,19972.833984375,1.5122123956680298,10.548645973205566,0.18080357142857142
image_00295,grad_cam,resnet50,1.0,22461.265625,1.233890175819397,10.695304870605469,0.03862404336734694
image_00295,grad_cam,mobilenet_v2,1.0,22461.265625,1.233890175819397,10.695304870605469,0.03862404336734694
image_00296,grad_cam,resnet50,1.0,13325.1416015625,2.7655134201049805,10.342467308044434,0.38161670918367346
image_00296,grad_cam,mobilenet_v2,0.0,13325.1416015625,2.7655134201049805,10.342467308044434,0.38161670918367346
image_00297,grad_cam,resnet50,1.0,20934.84375,1.3967697620391846,10.63171672821045,0.03649154974489796
image_00297,grad_cam,mobilenet_v2,1.0,20934.84375,1.3967697620391846,10.63171672821045,0.03649154974489796
image_00298,grad_cam,resnet50,1.0,25801.599609375,0.9446856379508972,10.654111862182617,0.08484135841836735
image_00298,grad_cam,mobilenet_v2,1.0,25801.599609375,0.9446856379508972,10.654111862182617,0.08484135841836735
image_00299,grad_cam,resnet50,1.0,22799.068359375,1.2007917165756226,10.548768997192383,0.22795758928571427
image_00299,grad_cam,mobilenet_v2,1.0,22799.068359375,1.2007917165756226,10.548768997192383,0.22795758928571427
